round,shuffle_role,period_length,num_subperiods,pure_strategy,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,90,15,TRUE,2,0,4,2,5,6,3,1
2,FALSE,90,15,FALSE,2,0,4,2,5,6,3,1
3,FALSE,90,15,FALSE,8,0,0,2,0,2,2,0
4,FALSE,90,15,TRUE,8,0,0,2,0,2,2,0
5,FALSE,90,15,TRUE,3,1,1,7,1,3,2,1
6,FALSE,90,15,FALSE,3,1,1,7,1,3,2,1
7,FALSE,90,15,FALSE,8,0,0,2,0,2,2,0
8,FALSE,90,15,TRUE,8,0,0,2,0,2,2,0
9,FALSE,90,0,TRUE,2,0,4,2,5,6,3,1
10,FALSE,90,0,TRUE,8,0,0,2,0,2,2,0
11,FALSE,90,0,FALSE,8,0,0,2,0,2,2,0
12,FALSE,90,0,FALSE,8,0,0,2,0,2,2,0
13,FALSE,90,0,FALSE,3,1,1,7,1,3,2,1
14,FALSE,90,0,FALSE,3,1,1,7,1,3,2,1
15,FALSE,90,0,FALSE,2,0,4,2,5,6,3,1
16,FALSE,90,0,FALSE,2,0,4,2,5,6,3,1
17,TRUE,90,0,FALSE,8,0,0,2,0,2,2,0
18,FALSE,90,0,FALSE,8,0,0,2,0,2,2,0
19,FALSE,90,0,FALSE,8,0,0,2,0,2,2,0
20,FALSE,90,0,FALSE,3,1,1,7,1,3,2,1
21,FALSE,90,0,FALSE,3,1,1,7,1,3,2,1
22,FALSE,90,0,FALSE,3,1,1,7,1,3,2,1
23,FALSE,90,0,TRUE,3,1,1,7,1,3,2,1
24,FALSE,90,0,TRUE,8,0,0,2,0,2,2,0
25,FALSE,90,15,TRUE,2,0,4,2,5,6,3,1
26,FALSE,90,15,FALSE,2,0,4,2,5,6,3,1
27,FALSE,90,15,FALSE,3,1,1,7,1,3,2,1
28,FALSE,90,15,TRUE,3,1,1,7,1,3,2,1
29,FALSE,90,15,TRUE,8,0,0,2,0,2,2,0
30,FALSE,90,15,FALSE,8,0,0,2,0,2,2,0
31,FALSE,90,15,FALSE,3,1,1,7,1,3,2,1
32,FALSE,90,15,TRUE,3,1,1,7,1,3,2,1
