round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
2,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
3,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
4,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
5,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
6,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
7,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
8,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
9,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
10,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
11,TRUE,150,25,FALSE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
12,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
13,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
14,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
15,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
16,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
17,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
18,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
19,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
20,FALSE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
